,Nat_Dex,Name,Type,Files
0,#001,Bulbasaur,Grass,Grass-001Bulbasaur.png
1,#001,Bulbasaur,Poison,Poison-001Bulbasaur.png
2,#002,Ivysaur,Grass,Grass-002Ivysaur.png
3,#002,Ivysaur,Poison,Poison-002Ivysaur.png
4,#003,Venusaur,Grass,Grass-003Venusaur.png
5,#003,Venusaur,Poison,Poison-003Venusaur.png
6,#004,Charmander,Fire,Fire-004Charmander.png
7,#005,Charmeleon,Fire,Fire-005Charmeleon.png
8,#006,Charizard,Fire,Fire-006Charizard.png
9,#006,Charizard,Flying,Flying-006Charizard.png
10,#007,Squirtle,Water,Water-007Squirtle.png
11,#008,Wartortle,Water,Water-008Wartortle.png
12,#009,Blastoise,Water,Water-009Blastoise.png
13,#010,Caterpie,Bug,Bug-010Caterpie.png
14,#011,Metapod,Bug,Bug-011Metapod.png
15,#012,Butterfree,Bug,Bug-012Butterfree.png
16,#012,Butterfree,Flying,Flying-012Butterfree.png
17,#013,Weedle,Bug,Bug-013Weedle.png
18,#013,Weedle,Poison,Poison-013Weedle.png
19,#014,Kakuna,Bug,Bug-014Kakuna.png
20,#014,Kakuna,Poison,Poison-014Kakuna.png
21,#015,Beedrill,Bug,Bug-015Beedrill.png
22,#015,Beedrill,Poison,Poison-015Beedrill.png
23,#016,Pidgey,Normal,Normal-016Pidgey.png
24,#016,Pidgey,Flying,Flying-016Pidgey.png
25,#017,Pidgeotto,Normal,Normal-017Pidgeotto.png
26,#017,Pidgeotto,Flying,Flying-017Pidgeotto.png
27,#018,Pidgeot,Normal,Normal-018Pidgeot.png
28,#018,Pidgeot,Flying,Flying-018Pidgeot.png
29,#019,Rattata,Normal,Normal-019Rattata.png
30,#020,Raticate,Normal,Normal-020Raticate.png
31,#021,Spearow,Normal,Normal-021Spearow.png
32,#021,Spearow,Flying,Flying-021Spearow.png
33,#022,Fearow,Normal,Normal-022Fearow.png
34,#022,Fearow,Flying,Flying-022Fearow.png
35,#023,Ekans,Poison,Poison-023Ekans.png
36,#024,Arbok,Poison,Poison-024Arbok.png
37,#025,Pikachu,Electric,Electric-025Pikachu.png
38,#026,Raichu,Electric,Electric-026Raichu.png
39,#027,Sandshrew,Ground,Ground-027Sandshrew.png
40,#028,Sandslash,Ground,Ground-028Sandslash.png
41,#029,Nidoran♀,Poison,Poison-029Nidoran.png
42,#030,Nidorina,Poison,Poison-030Nidorina.png
43,#031,Nidoqueen,Poison,Poison-031Nidoqueen.png
44,#031,Nidoqueen,Ground,Ground-031Nidoqueen.png
45,#032,Nidoran♂,Poison,Poison-032Nidoran.png
46,#033,Nidorino,Poison,Poison-033Nidorino.png
47,#034,Nidoking,Poison,Poison-034Nidoking.png
48,#034,Nidoking,Ground,Ground-034Nidoking.png
49,#035,Clefairy,Fairy,Fairy-035Clefairy.png
50,#036,Clefable,Fairy,Fairy-036Clefable.png
51,#037,Vulpix,Fire,Fire-037Vulpix.png
52,#038,Ninetales,Fire,Fire-038Ninetales.png
53,#039,Jigglypuff,Normal,Normal-039Jigglypuff.png
54,#039,Jigglypuff,Fairy,Fairy-039Jigglypuff.png
55,#040,Wigglytuff,Normal,Normal-040Wigglytuff.png
56,#040,Wigglytuff,Fairy,Fairy-040Wigglytuff.png
57,#041,Zubat,Poison,Poison-041Zubat.png
58,#041,Zubat,Flying,Flying-041Zubat.png
59,#042,Golbat,Poison,Poison-042Golbat.png
60,#042,Golbat,Flying,Flying-042Golbat.png
61,#043,Oddish,Grass,Grass-043Oddish.png
